recipe_title;url;rating;cuisine;course;diet;prep_time;cook_time;ingredients;;;;;;;;;;;;;
Creamy Chicken Pesto Spaghetti Pasta Recipe;https://www.archanaskitchen.com/creamy-chicken-pesto-pasta-recipe;4.90;Italian Recipes;Dinner;High Protein Non Vegetarian;10 M;20 M;Extra Virgin Olive Oil|Chicken breasts|Spaghetti Pasta|Basil leaves|Walnuts|Parmesan cheese|Garlic|Extra Virgin Olive Oil|Salt|Whole Black Pepper Corns|Lemon juice;;;;;;;;;;;;;
Hyderabadi Bagare Tamatar (Spiced, Tossed Tomato Curry);https://www.archanaskitchen.com/hyderabadi-bagare-tamatar-spiced-tossed-tomato-curry;4.90;Hyderabadi;Lunch;Vegetarian;15 M;40 M;Tomatoes|Onions|Khoya (Mawa)|Sesame seeds (Til seeds)|Raw Peanuts (Moongphali)|Red Chilli powder|Kashmiri Red Chilli Powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Cloves (Laung)|Cinnamon Stick (Dalchini)|Garlic|Oil|Salt|Whole Eggs;;;;;;;;;;;;;
Eggplant Rolls Recipe;https://www.archanaskitchen.com/eggplant-rolls-recipe;4.90;Italian Recipes;Main Course;Vegetarian;10 M;100 M;Brinjal (Baingan / Eggplant)|Green Bell Pepper (Capsicum)|Carrot (Gajjar)|Onion|Green Chillies|Garlic|Basil leaves|Parsley leaves|Extra Virgin Olive Oil|Black pepper powder|Salt|Dried oregano|Mozzarella cheese;;;;;;;;;;;;;
Beans And Carrot Masala Pulav With Black Eyed Beans Recipe;https://www.archanaskitchen.com/beans-and-carrot-masala-pulav-with-black-eyed-beans-or-whole-green-mung-beans;4.78;Indian;Lunch;Vegetarian;15 M;40 M;Black Eyed Beans (Lobia)|Rice|Carrots (Gajjar)|Green beans (French Beans)|Turmeric powder (Haldi)|Tomatoes|Bay leaves (tej patta)|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Cumin seeds (Jeera)|Green Chillies|Mint Leaves (Pudina)|Salt;;;;;;;;;;;;;
Chettinad Kathirikai Chops Recipe - Brinjal Curry for Biryani;https://www.archanaskitchen.com/chettinad-kathirikai-chops-recipe-brinjal-curry-for-biryanis;4.93;Chettinad;Main Course;Vegetarian;20 M;20 M;Small Brinjal (Baingan / Eggplant)|Turmeric powder (Haldi)|Red Chilli powder|Jaggery|Tomatoes|Salt|Black sesame seeds|Raw Peanuts (Moongphali)|Cumin seeds (Jeera)|Ginger|Garlic|Onions|Green Chillies|Gingelly oil|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Curry leaves;;;;;;;;;;;;;
Kodava Pacche Baale Barthad- Raw Banana Stir Fry;https://www.archanaskitchen.com/kodava-style-pacche-baale-barthad-raw-banana-stir-fry;4.90;Coorg;Lunch;Diabetic Friendly;10 M;15 M;Raw Banana|Coconut Oil|Salt|Garlic|Ginger|Green Chillies|Curry leaves|Black pepper corns|Tamarind;;;;;;;;;;;;;
Lebanese Chickpea Falafel Recipe - Healthy Non Fried Recipe;https://www.archanaskitchen.com/middle-eastern-falafel;4.92;Mediterranean;Main Course;High Protein Vegetarian;15 M;30 M;Kabuli Chana (White Chickpeas)|Gram flour (besan)|Garlic|Onion|Cumin powder (Jeera)|Coriander (Dhania) Powder|Black pepper powder|Red Chilli powder|Salt|Parsley leaves|Oil;;;;;;;;;;;;;
Drumstick Leaves Ragi Roti Recipe - Moringa Millet Flat Bread;https://www.archanaskitchen.com/drumstick-leaves-ragi-roti-recipe-moringa-millet-flat-bread;4.84;Karnataka;South Indian Breakfast;Diabetic Friendly;20 M;30 M;Ragi Flour (Finger Millet/ Nagli)|Whole Wheat Flour|Green Chillies|Ginger|Drumstick Leaves (Moringa/Murungai Keerai)|Black pepper powder|Salt;;;;;;;;;;;;;
Chettinad Pakora Curry Recipe;https://www.archanaskitchen.com/chettinad-pakoda-curry-recipe;4.92;Chettinad;Side Dish;Vegetarian;20 M;30 M;Chana dal (Bengal Gram Dal)|Dry Red Chillies|Fennel seeds (Saunf)|Salt|Oil|Onion|Tomato|Green Chillies|Garlic|Coriander Powder (Dhania)|Red Chilli powder|Cinnamon Stick (Dalchini)|Bay leaf (tej patta)|Cardamom (Elaichi) Pods/Seeds|Fennel seeds (Saunf)|Curry leaves|Coriander (Dhania) Leaves|Oil|Salt|Fresh coconut|Poppy seeds|Fennel seeds (Saunf)|Cashew nuts|Roasted Gram Dal (Pottukadalai);;;;;;;;;;;;;
Eerulli Palya Recipe - Vengaya Poriyal Recipe;https://www.archanaskitchen.com/eerulli-palya-recipe-onion-poriyal-sabzi-recipe;4.94;South Indian Recipes;Side Dish;Vegetarian;10 M;10 M;Onions|Tomato|Green Chillies|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Curry leaves|Dry Red Chillies|Asafoetida (hing)|Salt|Oil|Mint Leaves (Pudina);;;;;;;;;;;;;
Karwar NKGSB Style Bharli Vangi Recipe - Brinjal Curry;https://www.archanaskitchen.com/bharli-vangi-recipe-karwar-nkgsb-style-brinjal-curry;4.83;Karnataka;Lunch;Vegetarian;30 M;45 M;Brinjal (Baingan / Eggplant)|Potato (Aloo)|Onion|Fresh coconut|Turmeric powder (Haldi)|Tamarind|Garlic|Ginger|Jaggery|Gram flour (besan)|Coriander (Dhania) Leaves|Salt|Cloves (Laung)|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Whole Black Peppercorns|Byadagi Dried Chillies|Oil|Onion|Fresh coconut|Oil|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Curry leaves;;;;;;;;;;;;;
Cinnamon Welsh Cake Recipe ;https://www.archanaskitchen.com/cinnamon-welsh-cakes-recipe;4.94;Continental;Snack;Eggetarian;130 M;15 M;All Purpose Flour (Maida)|Caster Sugar|Cinnamon Powder (Dalchini)|Baking powder|Butter (Unsalted)|Sultana Raisins|Whole Egg;;;;;;;;;;;;;
Polenta Pizza With Vegetables Recipe;https://www.archanaskitchen.com/polenta-pizza-topped-with-vegetables-recipe;4.92;Italian Recipes;Main Course;Vegetarian;10 M;60 M;Makki Ka Atta (Yellow Corn Meal Flour)|Milk|Water|Whole Black Peppercorns|Extra Virgin Olive Oil|Salt|Red Yellow and Green Bell Peppers (Capsicum)|Button mushrooms|Mixed Herbs (Dried)|Onions|Cheese;;;;;;;;;;;;;
Eggless Buttermilk Cinnamon Rolls Recipe;https://www.archanaskitchen.com/buttermilk-cinnamon-rolls-recipe;4.93;Continental;World Breakfast;Vegetarian;60 M;180 M;All Purpose Flour (Maida)|Buttermilk|Salt|Butter (Unsalted)|Lukewarm Water|Caster Sugar|Butter (Unsalted)|Cinnamon Powder (Dalchini)|Caster Sugar|Milk|Icing Sugar|Vanilla Extract;;;;;;;;;;;;;
Vegetarian Sago Dumpling Recipe;https://www.archanaskitchen.com/vegetarian-sago-dumpling-recipe;4.89;Thai;Snack;Vegetarian;40 M;25 M;Sabudana (Tapioca Pearls)|Shallots|Mixed vegetables|Coriander (Dhania) Leaves|Coriander (Dhania) Leaves|Black pepper powder|Garlic|Oil|Water|Garlic|Oil;;;;;;;;;;;;;
Mooga Gathi (Sprouted Moong In Coconut Paste) Recipe;https://www.archanaskitchen.com/mooga-gathi-sprouted-moong-in-coconut-paste-recipe;4.88;Goan Recipes;Lunch;High Protein Vegetarian;540 M;40 M;Fresh coconut|Whole Black Peppercorns|Dry Red Chillies|Coriander (Dhania) Seeds|Turmeric powder (Haldi)|Tamarind|Mustard seeds (Rai/ Kadugu)|Curry leaves|Asafoetida (hing)|Jaggery|Oil;;;;;;;;;;;;;
Homemade Mole Sauce Recipe;https://www.archanaskitchen.com/home-made-mole-sauce-recipe;4.94;Mexican;Side Dish;Vegetarian;10 M;60 M;Chipotle peppers|Onion|Garlic|Tomatoes|Raw Peanuts (Moongphali)|Star anise|Cinnamon Stick (Dalchini)|Cloves (Laung)|Dark chocolate|Dried oregano|Black pepper powder|Sultana Raisins|Makki Ka Atta (Yellow Corn Meal Flour)|Butter (Salted)|Chicken stock|Salt;;;;;;;;;;;;;
Mexican Omelette Recipe with Avocado Salsa ;https://www.archanaskitchen.com/mexican-style-omelette-with-avocado-dressing-recipe;4.93;Mexican;World Breakfast;Eggetarian;10 M;20 M;Whole Eggs|Green capsicum|Onion|Britannia Cheese Block|Whole Eggs|Salt|Black pepper powder|Milk|Avocado|Onion|Tomato|Green Chillies|Salt|Coriander (Dhania) Leaves|Lemon juice|Sugar;;;;;;;;;;;;;
Grilled Tofu Satay Recipe With Peanut Dipping Sauce;https://www.archanaskitchen.com/grilled-tofu-satay-wrapped-in-lettuce-with-peanut-dipping-sauce;4.94;Asian;Appetizer;High Protein Vegetarian;20 M;20 M;Tofu|Sesame (Gingelly) Oil|Brown Sugar (Demerara Sugar)|Dried basil leaves|Garlic powder|Cayenne Pepper|Coconut milk|Ginger|Garlic|Peanut Butter|Turmeric powder (Haldi)|Lemon juice|Brown Sugar (Demerara Sugar)|Iceberg lettuce|Roasted Peanuts (Moongphali);;;;;;;;;;;;;
Spicy Pressure Cooker Mutton Curry Recipe ;https://www.archanaskitchen.com/spicy-and-quick-mutton-curry-recipe;4.90;Indian;Dinner;Non Vegeterian;30 M;30 M;Mutton|Salt|Lemon juice|Turmeric powder (Haldi)|Onions|Garlic|Ginger|Cloves (Laung)|Bay leaf (tej patta)|Cardamom (Elaichi) Pods/Seeds|Cinnamon Stick (Dalchini)|Fennel seeds (Saunf)|Green Chillies|Salt|Tomatoes|Red Chilli powder|Cumin powder (Jeera)|Coriander (Dhania) Powder|Meat masala|Kasuri Methi (Dried Fenugreek Leaves)|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Mysore Style Avarekalu Rasam Recipe ;https://www.archanaskitchen.com/mysore-style-avarekalu-rasam-recipe;4.92;Karnataka;Lunch;Vegetarian;10 M;30 M;Avarekalu / Lilva Beans|Tomatoes|Fresh coconut|Jaggery|Turmeric powder (Haldi)|Salt|Coriander (Dhania) Seeds|Dry Red Chillies|Byadagi Dried Chillies|Cumin seeds (Jeera)|Whole Black Peppercorns|Mustard seeds (Rai/ Kadugu)|Methi Seeds (Fenugreek Seeds)|Mustard seeds (Rai/ Kadugu)|Curry leaves;;;;;;;;;;;;;
Roasted Peppers & Cheese Crostini Recipe;https://www.archanaskitchen.com/crostini-with-peppers-cheese-recipe;4.90;Italian Recipes;Appetizer;Vegetarian;10 M;25 M;French Loaf|Butter (Salted)|Extra Virgin Olive Oil|Red Yellow and Green Bell Peppers (Capsicum)|Sweet corn|Pickled Jalapenos|Basil leaves|Salt|Mozzarella cheese|Mixed Herbs (Dried)|Red Chilli flakes|Garlic bread spice mix;;;;;;;;;;;;;
Goan Kaju Curry Recipe (Spicy Goan Cashew Nut Curry);https://www.archanaskitchen.com/goan-kaju-curry-recipe-goan-style-cashew-gravy;4.84;Goan Recipes;Lunch;Vegetarian;10 M;45 M;Cashew nuts|Tomato|Green Bell Pepper (Capsicum)|Turmeric powder (Haldi)|Oil|Coriander (Dhania) Leaves|Salt|Fresh coconut|Onion|Garlic|Coriander (Dhania) Seeds|Byadagi Dried Chillies|Whole Black Peppercorns|Cumin seeds (Jeera)|Cloves (Laung)|Tamarind;;;;;;;;;;;;;
Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal;https://www.archanaskitchen.com/chettinadu-style-potato-kaarakozhambu-recipe;4.88;South Indian Recipes;Lunch;Vegetarian;15 M;60 M;Methi Seeds (Fenugreek Seeds)|Coriander (Dhania) Seeds|Fennel seeds (Saunf)|Dry Red Chillies|Fresh coconut|Pearl onions (Sambar Onions)|Garlic|Tomatoes|Potatoes (Aloo)|Brinjal (Baingan / Eggplant)|Jaggery|Gingelly oil|Mustard seeds (Rai/ Kadugu)|Curry leaves;;;;;;;;;;;;;
Karnataka Style Huggi (Rice and Moong dal Savory Porridge);https://www.archanaskitchen.com/karnataka-style-huggi-rice-and-moong-dal-savory-porridge;4.91;Karnataka;Lunch;Vegetarian;0 M;30 M;Rice|Yellow Moong Dal (Split)|Turmeric powder (Haldi)|Cardamom (Elaichi) Pods/Seeds|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Cinnamon Stick (Dalchini);;;;;;;;;;;;;
Udupi Style Ash Gourd Coconut Curry Recipe ;https://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe;4.88;Udupi;Lunch;Vegetarian;10 M;30 M;Vellai Poosanikai (Ash gourd/White Pumpkin)|Turmeric powder (Haldi)|Salt|Oil|Dry Red Chillies|Fresh coconut|Methi Seeds (Fenugreek Seeds)|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Sesame seeds (Til seeds)|Jaggery|Oil|Mustard seeds (Rai/ Kadugu)|Curry leaves|Dry Red Chillies;;;;;;;;;;;;;
Methi Bajra Poori Recipe;https://www.archanaskitchen.com/methi-bajra-poori-recipe;4.82;Indian;Lunch;Vegetarian;10 M;60 M;Bajra Flour ( Pearl Millet)|Whole Wheat Flour|Methi Leaves (Fenugreek Leaves)|Garlic|Red Chilli powder|Sesame seeds (Til seeds)|Fennel seeds (Saunf)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Amchur (Dry Mango Powder)|Oil|Turmeric powder (Haldi)|Salt|Oil;;;;;;;;;;;;;
Moongphali Bhindi Sabzi Recipe - Lady's Finger Peanut Stir Fry;https://www.archanaskitchen.com/moongphali-bhindi-recipe-okra-and-peanut-stir-fry;4.85;North Indian Recipes;Lunch;Vegetarian;10 M;20 M;Bhindi (Lady Finger/Okra)|Oil|Ajwain (Carom seeds)|Curry leaves|Roasted Peanuts (Moongphali)|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Red Chilli powder|Amchur (Dry Mango Powder)|Salt;;;;;;;;;;;;;
Nargisi Kofta Curry Recipe - Spicy Scotched Egg Curry;https://www.archanaskitchen.com/nargisi-kofta-curry-recipe-spicy-scotched-egg-curry;4.90;Mughlai;Lunch;Eggetarian;30 M;45 M;Whole Egg|Mutton|Ginger|Garlic|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Kashmiri Red Chilli Powder|Corn flour|Mustard oil|Salt|Onion|Turmeric powder (Haldi)|Green Chilli Paste|Red Chilli powder|Garlic|Ginger|Coriander Powder (Dhania)|Cumin powder (Jeera)|Kasuri Methi (Dried Fenugreek Leaves)|Bay leaf (tej patta)|Dry Red Chilli|Salt|Oil;;;;;;;;;;;;;
Asian Style Tofu in Spicy Orange Sauce Recipe;https://www.archanaskitchen.com/asian-style-tofu-in-spicy-orange-sauce-recipe;4.93;Asian;Dinner;High Protein Vegetarian;10 M;30 M;Tofu|Orange Zest (Rind)|Corn flour|Whole Black Peppercorns|Rice Vinegar|Brown Sugar (Demerara Sugar)|Fresh orange juice|Ginger|Sesame (Gingelly) Oil|Sesame seeds (Til seeds)|Salt;;;;;;;;;;;;;
Homemade Kashmiri Garam Masala Recipe;https://www.archanaskitchen.com/how-to-make-homemade-kashmiri-masala-spice-mix-recipe;4.93;Kashmiri;Side Dish;Vegetarian;5 M;5 M;Cumin seeds (Jeera)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Coriander (Dhania) Seeds|Whole Black Peppercorns|Fennel seeds (Saunf)|Bay leaves (tej patta)|Mace (Javitri)|Nutmeg powder;;;;;;;;;;;;;
Hesarukalu Bele Kosambari Recipe | Tangy Sprouted Green Moong Dal Salad;https://www.archanaskitchen.com/hesarukalu-bele-kosumbari-recipe-sprouted-green-moong-salad;4.74;South Indian Recipes;Side Dish;Diabetic Friendly;10 M;5 M;Green Moong Dal (Whole)|Carrot (Gajjar)|Fresh coconut|Cucumber|Tomato|Green Chillies|Lemon|Coriander (Dhania) Leaves|Salt|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Curry leaves|Coconut Oil;;;;;;;;;;;;;
Bendakaya Pulusu Recipe - Andhra Style Tangy Ladies Finger Curry;https://www.archanaskitchen.com/bendakaya-pulusu-andhra-style-okra-in-tamarind-gravy;4.94;Andhra;Lunch;Vegetarian;10 M;20 M;Bhindi (Lady Finger/Okra)|Pearl onions (Sambar Onions)|Tomatoes|Tamarind|Curry leaves|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Methi Seeds (Fenugreek Seeds)|Turmeric powder (Haldi)|Red Chilli powder|Jaggery|Gingelly oil|Salt;;;;;;;;;;;;;
Peerkangai Thogayal Recipe | Ridge Gourd Peel Chutney | Beerakaya Pachadi;https://www.archanaskitchen.com/peerkangai-thogayal-recipe-ridge-gourd-peel-chutney;4.87;South Indian Recipes;Side Dish;Vegetarian;15 M;10 M;Ridge Gourd Skin (Turai/ Peerkangai)|White Urad Dal (Split)|Methi Seeds (Fenugreek Seeds)|Dry Red Chillies|Curry leaves|Tamarind|Salt|Gingelly oil|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Dry Red Chillies|Curry leaves;;;;;;;;;;;;;
Goan Style Mushroom Vindaloo Recipe;https://www.archanaskitchen.com/goan-style-mushroom-vindaloo-recipe;4.84;Goan Recipes;Dinner;Vegetarian;20 M;30 M;Button mushrooms|Onion|Garlic|Ginger|Turmeric powder (Haldi)|Oil|Salt|Dry Red Chillies|Coriander (Dhania) Seeds|Cumin seeds (Jeera)|Whole Black Peppercorns|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung);;;;;;;;;;;;;
Dhaba Style Dal Fry Recipe | Mixed Dal Tadka;https://www.archanaskitchen.com/dhaba-style-dal-fry-recipe;4.80;North Indian Recipes;Lunch;Vegetarian;120 M;40 M;Arhar dal (Split Toor Dal)|Chana dal (Bengal Gram Dal)|Masoor Dal (Whole)|White Urad Dal (Split)|Kashmiri Rajma|Kala Chana (Brown Chickpeas)|Cumin (Jeera) seeds|Onion|Ginger|Green Chillies|Cinnamon stick|Cardamom (Elaichi) Pods/Seeds|Bay leaves (tej patta)|Tomatoes|Turmeric powder (Haldi)|Red Chilli powder|Salt|Lemon|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Goan Mushroom Xacuti Recipe;https://www.archanaskitchen.com/goan-mushroom-xacuti-recipe;4.88;Goan Recipes;Lunch;Vegetarian;10 M;20 M;Oil|Button mushrooms|Turmeric powder (Haldi)|Salt|Onions|Ginger|Garlic|Coriander (Dhania) Leaves|Dry Red Chillies|Poppy seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Whole Black Pepper Corns|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Methi Seeds (Fenugreek Seeds)|Tamarind;;;;;;;;;;;;;
